Continent,Regions,Code,Zones,City,State,Country,Expected date,Latitude,Longitude,Company,"Location-City, County"
Asia,South Asia,IN-VSKP,Visakhapatnam Zone,Visakhapatnam,Andhra Pradesh,India,2026-2028,17.6868,83.2185,Google & Adani ConneX,"Visakhapatnam, Andhra Pradesh"
Asia,East Asia,JP-YOK,Yokohama City,Yokohama,Kanagawa,Japan,2027,35.4437,139.638,Jera,"Yokohama, Kanagawa"
Asia-Pacific,Oceania,AU-SYD,Sydney Metro,Sydney,NSW,Australia,2026,-33.8688,151.2093,GreenSquareDC,"Sydney, NSW"
North America,Texas,US-TX-DFW,Bosque County,Valley Mills,Texas,USA,2026-2028,31.6477,-97.4717,CyrusOne & Calpine,"Valley Mills, Bosque"
North America,South USA,US-TX-SG,Stargate Campus,Albuquerque,Texas,USA,2027-2029,32.3199,-106.7637,OpenAI & Oracle,"Albuquerque, Texas"
North America,Louisiana,US-LA-MON,Monroe,Monroe,Louisiana,USA,2026-2028,32.5093,-92.1193,Meta,"Monroe, Louisiana"
Europe,Nordic,SE-STH,Stockholm,Stockholm,Stockholm County,Sweden,2027-2028,59.3293,18.0686,Brookfield,"Stockholm, Stockholm County"
Europe,South,PT-SIN,Sines,Sines,Setubal,Portugal,2027-2029,37.9561,-8.8697,Start Campus,"Sines, Setubal"
Europe,Southern Europe,IT-MIL,Milan Metro,Milan,Lombardy,Italy,2028,45.4642,9.19,Apto,"Milan, Lombardy"
Europe,Iberia,ES-PAM,Pamplona,Pamplona,Navarra,Spain,2027-2029,42.8125,-1.6458,Campus Data,"Pamplona, Navarra"
